Serial No,Event Date,Abstract Text,Nature of Injury
532,03/07/2017,"At 8:30 a.m. on March 7, 2017, an employee was investigating a trailer door that had become stuck in the open position.  The door was a rollup type. After locking  the door in place with a wise grip, he touched the door's spring, which was broken, with one of his hands. The spring unraveled and caught the tip of his left middle finger, resulting in its amputation. is left middle finger, resulting in its amputation.","Amputation, Crushing"
533,03/07/2017,"At 8:00 p.m., Employee #1, employed by a municipal transportation agency, was at a cable car turnaround, waiting for her cable car to be loaded.  She was standing outside a shack, in front of an open window and below the window's wooden cover, which extended out and above her head.  The window cover collapsed and struck Employee #1.  Emergency services were called, and Employee #1 was transported to the hospital.  She was treated for a concussion and a small hematoma to the top of her head. ",Head Trauma
534,03/07/2017,"At 8:15 a.m. on March 7, 2017, an employee was cleaning a roof, when he fell 15 feet and struck the ground. The employee fractured one of his hips and both knees, which he was hospitalized and received treatment. ","Fracture, Broken Bones"
535,03/07/2017,"At 7:05 a.m. on March 7, 2017, an employee was opening the main waterline valve of an irrigation line that was made of PVC. As the water entered the line, the pipe broke, causing the valve and hydrant to strike the employee, which was at a force of 60 PSI. The employee's face and skull sustained multiple fractures. He was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
536,03/07/2017,"At 7:45 a.m. on March 7, 2017, an employee was operating a milling machine to place holes in a part. As he held the part in place with his left hand and pressed down with the spindle of the machine, the glove on his left hand became caught. His left thumb was pulled beneath the spindle and amputated its tip. The employee was hospitalized and received treatment for his injury. ","Amputation, Crushing"
537,03/07/2017,"At 4:30 p.m. on March 7, 2017, Employee #1, employed by a provider of industrial energy services, was working on a transformer.  He was adjusting the transformer's voltage when he sustained an electrical shock.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for an electrical shock that had entered at his shoulder and travelled out his back. ",Electrocution
538,03/07/2017,"At approximately 4:15 p.m. on March 7, 2015, an employee was returning a loaded trailer to the yard at the end of the day. As the trailer was being supported by a jack, it gave up.  The trailer landed on the right foot and leg of the employee.  The loaded trailer was cribbed or blocked and the employee suffered multiple fractures on right foot and leg. ","Fracture, Broken Bones"
539,03/07/2017,"At 4:10 p.m. on March 7, 2017, Employee #1, employed by a supermarket, was receiving training in operating a fork lift.  To prevent the lift from striking a bollard, he moved his foot between the bollard and the machine. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a crushing injury, a fractured foot. ","Fracture, Broken Bones"
540,03/07/2017,"At 4:00 p.m. on March 7, 2017, Employee #1, employed by a manufacturer of machined metal parts, was completing work on a part he had created with a CNC machine.  After the machining, he needed to remove a large metal burr from one edge of the part.  He began to operate a large disk sander, running the part across the sander to remove the burr.  The part fell from his hand to the ground.  As Employee #1 reached down to pick up the part, he saw that his right thumb had been injured.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a partial amputation of his thumb.  During the subsequent investigation, it was determined that the disk sander was more than 50 years old, and its manufacturer was unknown. ","Amputation, Crushing"
541,03/07/2017,"At 4:40 p.m. on March 7, 2017, Employee #1, employed by a manufacturer of large storage tanks, was cutting metal for the construction and erection of stainless steel wine tanks.  A piece of metal fell and struck his left leg. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a deep laceration and fractures to his leg. ",Laceration
542,03/07/2017,"At 4:00 p.m. on March 7, 2017, an employee was feeding a hose into a catapuller, when he became entangled. The employee's left hand and arm were pulled it into the catapuller, damaging skin and muscle. He was hospitalized and received treatment for his injuries. ",Serious Fall/Strike
543,03/07/2017,"At approximately 3:45 p.m. on March 7, 2017, an employee was climbing the built in ladder on the frame scaffold. He was working overhead while on a frame scaffold; the employee was climbing down when he stepped on a wooden uncleated plank; the plank slipped out from under him and he fell to the ground. The employee struck the support rails for the scaffold. The employee suffered fractured ribs for which he was hospitalized struck the support rails for the scaffold. The employee suffered fractured ribs for which he was hospitalized","Fracture, Broken Bones"
544,03/07/2017,"At 3:30 p.m. on March 7, 2017, Employee #1, employed by a manufacturer of manufactured stone products, was instructed to change his work position at a moving mold frame.  He moved into a dangerous area of the molding machine.  As he attempted to dispose of excess material, his left arm became caught in a pinch point.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured arm and compartment syndrome of the lower arm. ",Serious Fall/Strike
545,03/07/2017,"At 2:30 p.m. on March 7, 2017, an employee was stocking shelves at a place of business. As the employee climbed a two step A-frame mobile ladder with a three drawer plastic tote in hand, she lost her balance and fell from the ladder. The employee sustained fractures to her tibia and patella on her left side, which she was hospitalized and underwent surgery. ","Fracture, Broken Bones"
546,03/07/2017,"At approximately 2:00 p.m. on March 7, 2017, an employee was removing a metal sign from the building. The metal sign came into contact with overhead power lines. The employee suffered multiple electrical burns for which he was hospitalized. ",Electrocution
547,03/07/2017,"At 2:45 p.m. on March 7, 2017, Employee #1, employed by a tire retailer, was engaged in replacing a tire on a wheelbarrow rim.  Employee #1 seated the tire on the rim.  He then began to inflate the tire, which was positioned on the ground with no restraining device.  The air hose he used had no hand valve control or air pressure gauge.  The tire and rim suddenly flew up and struck Employee #1 in the face.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured skull, jaw, and nose. ",Laceration
548,03/07/2017,"At 1:00 p.m. on March 7, 2017, an employee was searching for an air leak in the furnace door.  The door became over pressurized and the end cap ruptured striking the employee.  The employee was killed by blunt force trauma to head and chest. ",Serious Fall/Strike
549,03/06/2017,"At 11:00 a.m. on March 6, 2017, Employee #1 was troubleshooting a clogged hose on the back of a trailer. A commercial vehicle struck the back of the truck, which surged forward and struck the employee, causing blunt force trauma to his legs and torso, killing him. ","Bruising, Contusion"
550,03/06/2017,"At 11:15 a.m. on March 6, 2017, an employee was using a broom to sweep the floor of a warehouse between aisles, which were marked by commercial shelving units. As the employee was sweeping, a forklift drove down the aisle and the employee was located to retrieve product from the shelf. While the forklift was maneuvering with the load on its forks, the employee was struck by the load, resulting in injury to his right shoulder. The employee was hospitalized and underwent surgery. ","Fracture, Broken Bones"
551,03/06/2017,"At 11:30 a.m. on March 6, 2017, an employee was operating a cut-to-length press for a production run. As he fed a steel sheet into the machine with the equipment's coil feeder, the material became stuck on the lip of the cut-off fixture within the press. The employee grabbed the sheet with his left hand to reposition it, resulting in the amputation of the tip of one of his fingers. The incident investigation revealed that during the employee repositioning the material, he inadvertently activated the machine to continue feeding it through the machine.  This caused his finger to become caught between the material and the edge of the fixture. ","Amputation, Crushing"
552,03/06/2017,"At 11:30 a.m. on March 6, 2017, an employee was operating a cut-to-length press for a production run. As he fed a steel sheet into the machine with the equipment's coil feeder, the material became stuck on the lip of the cut-off fixture within the press.The employee grabbed the sheet with his left hand to reposition it, resulting in the amputation of the tip of one of his fingers. The incident investigation revealed that during the employee repositioning the material, he inadvertently activated the machine to continue feeding it through the machine.  This caused his finger to become caught between the material and the edge of the fixture. ","Amputation, Crushing"
553,03/06/2017,"At about 11:00 a.m. on March 6, 2017, an employee was engaged in getting measurements for mudsills to be cut and installed on the second level. After getting the measurements, the employee stepped back and fell through a 28 inch by 28 inch floor opening.  The employee landed on the ground level.  The height from the ground level to the second level is approximately 13 feet, with roughly one foot flooring. The covering for the hole was removed as part of the work process. Sheets of plywood leaning against the wall on the ground level broke the employee's fall.   The employee suffered minor injuries and was not hospitalized. ","Bruising, Contusion"
554,03/06/2017,"At 10:30 a.m. on March 6, 2017, an employee was checking the rollers on a piece of equipment for a jam, when his hand became caught. The rollers crushed four of his finger, resulting in their amputation. The employee was hospitalized and received treatment for his injury. ","Amputation, Crushing"
555,03/06/2017,"At about 10:30 a.m. on March 6, 2017, an employee was installing roofing paper before the shingles were to be installed on the roof. The employee fell from the roof. The employee suffered severe lacerations and contusions, and fractured bones,  and was hospitalized. ",Laceration
556,03/06/2017,"At approximately 10:18 a.m. on March 6, 2017, an employee was hand digging in a trench. A portion of the trench broke loose, pinning the employee against the trench wall. The employee was hospitalized and treated for a fractured right leg and knee. ","Fracture, Broken Bones"
557,03/06/2017,"At 9:00 p.m. on March 6, 2017, an employee was vacuuming the inside of a residence, when she experienced trouble breathing. The employee, who had a prior breathing condition, used her inhaler; however it did no help. In the meantime, the owner of the residence required to be put into a physical restraint, which urgent care clinic for treatment, where she was admitted and treated for asthma exacerbated by possible exposure to pesticide. acerbated by possible exposure to pesticide.",Serious Fall/Strike
558,03/06/2017,"At 8:00 a.m. on March 6, 2017, an employee was riding a mill elevator when he fell into the elevator shaft. The employee struck his head, sustaining a fractured skull, which he was hospitalized and received treatment. ","Fracture, Broken Bones"
559,03/06/2017,"At 8:30 a.m. on March 6, 2017, Employee #1 was using an eight foot A-frame fiberglass ladder to remove the steel top cover of the natural gas fuel filtration skid and replace the filters. The employee began to unbolt the steel top cover when it exploded and struck the employee. Employee #1 did not lock out/tag out, nor was the vessel de-energized/purged prior to removing the top cover. The employee sustained blunt force trauma to his body, causing complete amputation of both arms, killing him. ",Head Trauma
560,03/06/2017,"At 8:45 p.m. on March 6, 2017, a temporary employee was working at a facility, operating a roll sorting machine. During operation, a jam occurred. As the employee reached her right hand between two cylinders on the machine, to remove the jam, it became caught. The employee's hand and wrist were injured, which she was hospitalized and received treatment. ",Serious Fall/Strike
561,03/06/2017,"At 7:30 a.m. on March 6, 2017, an employee and a coworker were testing a newly installed actuator on a dust collector. Unaware that the employee had his right index finger pressing on a rubber seal belonging to the actuator, the coworker cycled its pneumatic cylinders. The rubber seal on which the employee's finger was located between two metal rings that closed when the equipment cycled and amputated the tip of his finger. The equipment operated between 95 and 100 p.s.i. when cycled. ",Laceration
562,03/06/2017,"At 4:30 p.m. on March 6, 2017, an employee was removing panels of sheet metal from a surface. During removal, one of the panels turned crooked. As the employee worked to straighten out the panel, it slipped and sliced one of his pinky fingers, resulting in its amputation. ","Amputation, Crushing"
563,03/06/2017,"At 4:15 p.m. on March 6, 2017, an employee was operating a plodder machine with a rotating auger that was used to recycle bars of soap. During operation, the employee placed his hand under the machine's guard to remove a plastic dust cover. His hand contacted the rotating auger, amputating the tip of his right middle finger. ","Amputation, Crushing"
564,03/06/2017,"At 3:00 p.m. on March 6, 2017, an employee was working on the roof of a two-story apartment complex, applying tar. As he was located near the unprotected side of the roof, he lost his footing and fell 19 feet to ground. The employee sustained multiple contusions and rib fractures, which he was hospitalized and received treatment for his injuries.  The incident investigation revealed that the employee was not wearing fall protection. ",Laceration
565,03/06/2017,"At about 3:00 a.m. on March 6, 2017, an employee, working as a plumbing apprentice, was engaged in repairing a broken sewage pipe.	The employee had a small cut on his knee area and when he kneeled in the broken sewage pipe area, his knee became infected. The infection symptoms started on the night of March 8, 2017. The employee was hospitalized and treated for infection. ",Serious Fall/Strike
566,03/06/2017,"At approximately 2:00 p.m. on March 6, 2017, an employee was working on a ladder. He fell off the ladder and 	broke his leg. The employee was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
567,03/06/2017,"At 2:00 p.m. on March 6, 2017, an employee was working from an elevated work platform to remove a hydraulic check valve. During removal, the employee fell to a lower level and fractured his right leg, which he was hospitalized and received treatment. ","Fracture, Broken Bones"
568,03/06/2017,"At approximately 2:30 p.m. on March 6, 2017, workers were drilling a hole for cathode protection for corrosion control on an underground gas supply-line. The job was to replace an existing anode with a new one.	An employee was struck in the abdomen by the drilling rig, and was knocked to the ground. The employee suffered from an abdominal injury for which he was hospitalized. ","Bruising, Contusion"
569,03/06/2017,"At 1:30 p.m. on March 6, 2017, an employee was assisting coworkers to troubleshoot the malfunction of a cooker machine at a rendering facility.  The employee walked downstream from the cooker to access the hatch of a chute to determine if a blockage existed. Before opening the hatch, the employee closed a gate between the cooker and the chute, and proceeded to hit the chute with a hammer to listen for a hallow sound. A hollow sound would indicate that the chute was sufficiently empty and safe to open the hatch. As the employee proceeded to open the hatch, he was sprayed with hot meat meal. The hot contents contacted the employees hand, arm, leg and stomach on his right side, resulting in second degree burns covering approximately 11percent of the employee's body.  He was hospitalized and received treatment for injuries sustained. ",Fire Burn
570,03/06/2017,"At 1:22 p.m. on March 6, 2017, Employee #1, a temporary employee, and a coworker were preparing to go up to the roof to install mesh nylon cloth around the skylights that had holes and cracks. The two employees were using a 30 foot fixed caged metal ladder located in a hatchway in the southeast corner of the warehouse section of the facility. The coworker went up on the roof via the hatchway opening, carrying all of the repair materials and tools. Employee #1 did not come up the ladder, so the coworker went back to the opening to try to see where he was. The coworker heard loud banging noises and shaking of the ladder cage, like something was hitting its walls. As the coworker looked down through the hatchway opening, Employee #1 was laying on the floor by the ladder in a pool of blood. Employee #1 had fallen approximately 25 feet through the caged 30 foot metal ladder. The coworker called for help and emergency medical services responded. Employee #1 sustained head trauma and skull fractures and was pronounced dead at the scene. Upon questioning, the employer did not provide training and instruction to Employee #1 on the safe use of ladders, climbing and working on ladders, user's position, points of contact with the ladder and factors contributing to falls. ","Fracture, Broken Bones"
571,03/06/2017,"At 1:15 p.m. on March 6, 2017, an employee was walking on the dirt trail with a measuring tape and shovel.   A piece of heavy equipment KOMATSU WA320-7 was carrying a 60 inch pipe that struck the employee in the head, and than ran over him.  The employee was killed. ","Fracture, Broken Bones"
572,03/05/2017,"At 11:00 a.m. on March 5, 2017, and employee was driving a golf cart when he struck the chassis of a trailer. The employee sustained four broken ribs, which he was hospitalized and received treatment. ","Bruising, Contusion"
573,03/05/2017,"At 11:45 a.m. on March 5, 2017, an employee was working on an unpressurized vessel and was to replace lining of a dump nozzle.  The employee felt chest pains and climbed down from his work station prior to performing work.  The employee was taken to a hospital by staff onsite, where he died. ",Serious Fall/Strike
574,03/05/2017,"At 10:00 a.m. on March5, 2017, an employee and coworker were conducting switching operations within the railyard of a steel mill.  The employee jumped onto the left side of a car on a stirrup and grabbed a bar while it was moving.  The employee fell from the railcar, injuring their left leg and a portion of the leg was amputated.  The employee died as a result of their injuries. ","Amputation, Crushing"
575,03/05/2017,"At 10:45 a.m. on March 5, 2017, an employee was trimming trees. After ascending a 75 foot long ladder to access a tree, measuring an approximate 100 feet tall, and climbing an additional 20 feet, the employee used a 0.5 inch diameter rope to tie himself off. As he used another rope to lower large branches to the ground, he lost his footing and fell. The employee sustained fractures to his face, arms, hands, legs, and torso, and skull, which he was hospitalized and received treatment. The incident investigation revealed that the employee was not wearing fall protection. ",Head Trauma
576,03/05/2017,"At 9:30 a.m. on March 5, 2017, Employee #1 was walking to the bathroom. A tree limb broke from a tree due to snow and high winds, and fell on the employee. Employee #1 was struck in the head and killed. ",Serious Fall/Strike
577,03/05/2017,"At 9:45 p.m. on March 5, 2017, an employee was walking on a metal platform to inspect an area. During his walk-around, he stopped near a step down to look around. Unaware of his closeness to the step down, the employee turned around and began walking again and fell. The employee fractured his right leg, which he was hospitalized and received treatment. ","Fracture, Broken Bones"
578,03/05/2017,"At 7:15 p.m. on March 5, 2017, an employee was clearing a jam from a bagger machine when his left index finger contacted the blade. He sustained severe lacerations to the finger, which he was hospitalized and received treatment. The incident investigation revealed that appropriate lockout/tagout procedures were not performed before removing the jam. ",Dislocation
579,03/05/2017,"At 5:30 a.m. on March 5, 2017, an employee became stuck in oven area when the second set of doors became jammed. As the employee worked to free himself from the area, he burned one of his hands and lower forearm. He was hospitalized for his injuries. his injuries.",Fire Burn
580,03/05/2017,"At 4:50 p.m. on March 5, 2017, an employee was using a torch to cut off steel bolt heads.The torch, which was fueled with oxygen and acetylene, caught fire when the employee opened the oxygen hose. The flames spread to the employee's sweatshirt and undershirt resulting in burns to the left side of his chest and stomach. The employee was hospitalized and received treatment for his injuries. The incident investigation revealed that the oxygen hose had a leak, contributing to the incident. g to the incident.",Fire Burn
581,03/05/2017,"At 4:10 p.m. on March 5, 2017, an employee was using a Hobart meat grinder machine to cut spare ribs. As he fed a portion of spare ribs into the grinder, the employee's right middle finger contacted the blade amputating the finger. The employee was hospitalized and treated for his injury. ","Amputation, Crushing"
582,03/05/2017,"At 4:15 p.m. on March 5, 2017, an employee was making adjustments to a screw machine (Acme-Gridley Multiple Spindle Bar Machine) used for the aerospace industry. Adjustments are typically conducted daily at the end of each shift in preparation for its next use. As the employee opened the machines panel and reached inside to adjust its auxiliary bolt, his right hand was pulled into the gears. His right ring finger was amputated as a result. The incident investigation revealed that the machine did not undergo lockout/tagout procedures and parts were still in motion during servicing. ","Amputation, Crushing"
583,03/04/2017,"On March 4, 2017, Employee #1 and a coworker were spraying damp proofing product on the exposed brick at the Rock Hill High School courtyard. The employees were working out of an aerial lift Genie, Serial number Z30N11-12902. The height of the courtyard was 31 feet. Once they finished that area, they were instructed to go to the other side of the building and finish that area before the end of the day. The two employees began spraying that side of the building at approximately 3:45 p.m.  At 5:30 p.m., Employee #1 entered the area on a JLG aerial lift, Model number 400S, serial number 0300165229. The employee set the lift up, facing away from the building. Employee #1 maneuvered the lift so that the basket would fit in the 11 feet by 10 feet opening. The opening had an overhead beam that came out of the building at 22 feet in height. The overhead was six feet in width by eight feet in length, leaving four feet to the end of the opening. The speed of the lift was placed in the fast (rabbit) mode. Once Employee #1 began to accelerate, the lift moved straight up. The back of Employee #1's head and neck struck the overhead steel beam.  When Employee #1 struck the beam, it pushed his body forward onto the controls, propelling the machine to keep moving upward. Employee #1 sustained crushing injuries to his head and neck, killing him. ","Fracture, Broken Bones"
584,03/04/2017,"At 10:00 a.m. on March 4, 2017, an employee was clearing aluminum chips from a screw conveyor that had built up, stopping the machine. Once the chips were cleaned out, the employee restarted the machine and kneeled down to visually observe the chip vacuum system. The guard was not in place and the employee's left shirt sleeve became caught on the pin of the screw conveyor. His arm was pulled into the conveyer, sustaining skin removal, tendon damage, dislocation/breakage of bones, and lacerations, which he was hospitalized and received treatment. ",Dislocation
585,03/04/2017,"At 8:15 a.m. on March 4, 2017, an employee was accessing the steep metal roof of a 9 foot 6 inch wide by 16 foot long by 10 foot high building, to drill a hole in the roof with a cordless drill and 2.5 inch hole-saw for a plumbing vent. The employee went from the ladder to the roof,  slipped off of the roof and fell approximately 10 feet to the ground. The employee was hospitalized and treated for fractured a foot and heel. ","Fracture, Broken Bones"
586,03/04/2017,"At 8:25 a.m. on March 4, 2017, an employee was located on top of a conveyor unit to access oven rollers undergoing cleaning. During the cleaning process that involved the use of a hose, the hose became caught in a gap between the conveyor and the oven rollers. The hose then became wrapped around his foot, pulling both of his feet and lower legs into the gap between the oven rollers and conveyor. A coworker witnessed the incident and immediately activated the equipments E-STOP, stopping the oven rollers from rotating further, and emergency services were contacted. The employee was taken to a nearby medical facility, where he was hospitalized and received treatment for multiple fractures. ","Fracture, Broken Bones"
587,03/04/2017,"At 8:30 p.m. on March 4, 2017, an employee was working at a manufacturing plant over a weekend. As the employee traversing the plant floor to shutdown a conveyor in order to sweep the area, he inadvertently stepped onto a steel beam and fell to the floor. The fall initiated a chain reaction, where the employee then rolled through an opening under the conveyor, and fell another 14 feet to the concrete floor below. The employee sustained fractures to several ribs and two vertebrae, as well as bleeding on the brain, and a collapsed lung, which he was hospitalized and received treatment. ","Bruising, Contusion"
588,03/04/2017,"At 8:45 p.m. on March 4, 2017, an employee was troubleshooting a paper jam that had occurred. After performing the necessary lockout/tagout procedures, the employee used on of his hands to pry apart two parts of the machine that had become stuck together. The force of the two parts separating caused the amputation of two fingers on his right hand. of two fingers on his right hand.","Amputation, Crushing"
589,03/04/2017,"At 8:45 p.m. on March 4, 2017, an employee was operating an automated box making machine. During operation, the machine malfunctioned and became jammed. As a result, the employee bypassed an interlocked guard with a screw to reach the jam with his left hand. While removing the jam, the employee inadvertently activated the machine, causing a partial amputation of his left middle finger. ","Amputation, Crushing"
590,03/04/2017,"At 5:00 p.m. on March 4, 2017, an employee was assisting in the loading of a compressor onto a forklift, when its back tire ran over his right foot. He sustained a fractured right foot, which he was hospitalized and received treatment. ",Serious Fall/Strike
591,03/04/2017,"At 4:53 p.m. on March 4, 2017, an employee was using his hands to separate aluminum bars, when his left middle finger became caught between the bars. His finger was amputated, which he was hospitalized and received treatment. ","Amputation, Crushing"
592,03/04/2017,"At 3:30 p.m. on March 4, 2017, an employee was climbing an adjustable extension ladder when it slid out from under him. The employee fell approximately 8 feet, fracturing both his heels when he struck the ground. ","Fracture, Broken Bones"
593,03/03/2017,"At 12:00 p.m. on March 3, 2017, an employee was using a brake press to crimp a bar of metal to be applied to the end of a print blanket (cloth-like material used in printing operations). During operation of the press, one of his fingers was crushed, resulting in its amputation. ","Amputation, Crushing"
594,03/03/2017,"At 11:00 a.m. on March 3, 2017, a service technician was accessing a stairwell when he fell, sustaining a cut on his head, broken ribs and a ruptured spleen. He was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
595,03/03/2017,"At 11:15 a.m. on March 3, 2017, an employee was using a miter saw to cut a wood skid to a length of 24 inches. During operation, one of the employee's gloves contacted the saw blade and was pulled into the saw. One of his fingers on that hand was amputated. ","Amputation, Crushing"
596,03/03/2017,"At 11:00 a.m. on March 3, 2017, an employee was making a delivering furniture and/or appliances to a residence, when a man riding a bicycle opened fire on the delivery box truck. The employee's right arm and left pelvis area was struck by several rounds of bullets, resulting in fractures and puncture wound to his abdomen. The employee was hospitalized and treated for his injuries. ",Serious Fall/Strike
597,03/03/2017,"At 11:50 p.m. on March 3, 2017, an employee was working to remove a roller board from a metal hook that it was hanging on. As the employee tugged on the roller board, it suddenly released from the hook and caused her to become unbalanced. The employee fell backwards, striking a linoleum floor below with her left hip. She sustained a hip fracture, which she was hospitalized and received treatment. ","Fracture, Broken Bones"
598,03/03/2017,"At 11:45 a.m. on March 3, 2017, an employee was using a ladder to access an exhaust fan that was attached to the ceiling to verify its rated horse power. While the employee was on the ladder, it slipped out from under him. The employee fell to the ground, striking his head on a metal L-brace that was attached to the floor. The employee sustained a concussion, laceration to his head, and fractured ribs, which he was hospitalized and received treatment. ",Head Trauma
599,03/03/2017,"At 11:30 a.m. on March 3, 2017, an employee was securing a paint can to the cab of a forklift that was located on a trailer. As he turned around to walk towards the steps of the trailer, he tripped and fell,   approximately 36 inches to the dirt ground. The employee sustained a fractured right hip, which he was hospitalized and received treatment. ","Fracture, Broken Bones"
600,03/03/2017,"At 10:15 a.m. on March 3, 2017, an employee and three coworkers were performing a rope shortening operation on a freight elevator. During this process, the shackle from one of the suspension wire cables loosened, causing a section of the cable to strike the employee. He sustained a bone fracture in an unspecified area, which he was hospitalized and received treatment. ","Bruising, Contusion"
601,03/03/2017,"At 10:15 a.m. on March 3, 2017, Employee #1 was skiing to pick up a coworker's ski that had gotten away from him after a fall. As the employee transitioned from one snow type to another, he lost his balance and fell. Employee #1 tumbled about 100 yards before coming to rest against a snow ski jump. The employee sustained blunt force trauma to his head and was killed. ",Head Trauma
602,03/03/2017,"At 10:50 a.m. on March 3, 2017, Employee #1, employed by an egg producer, was performing housekeeping inside the facility.  He was standing on a truck 9 feet high and reaching up to clean out shells on the eggshell shoot, which was 14 feet high.  Employee #1 was using his hands to clean out the shells when the tips of his right hand middle and index fingers came into contact with the rotating augur.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the partial amputation of the two fingers.  The subsequent investigation determined that the equipment was not properly locked out. ","Amputation, Crushing"
603,03/03/2017,"At 10:15 p.m. on March 3, 2017, an employee working at a cranberry processing facility performing sanitation operations from the top of a commercial cranberry dryer.  Employee #1 was using a pressure washer to clean the inside of the dryer. The inside of the dryer was accessed via a 4 foot by 4 foot hinged panel. Employee #1 closed one of the panels in the crouched position and then stood up. As Employee #1 stood up, he lost his balance and fell backwards towards the hard concrete surface below. Employee #1 sustained a laceration to the head and two fractures to the left shoulder. The dryer measured approximately 140 feet long by 12 feet wide by 12.75 feet high. As a result, the employee sustained a laceration to his head and fractures to his left shoulder, which he was hospitalized and received treatment. The incident investigation revealed that the no fall protection was in use nor was the employee trained on topics such as fall protection and safe cleaning procedures. Additionally, it was the employees first time working from the top of the dryer. ",Serious Fall/Strike
604,03/03/2017,"At 10:15 a.m. on March 3, 2017, Employee #1, employed by a foods supplier, was operating an electric pallet jack.  He was backing up when he tried to stop by lifting the control handle.  The handle became stuck on the bottom of a stacked pallet that was approximately 4 feet high.  Employee #1's right little finger became caught between the pallet jack control handle and the bottom of the stacked pallet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the partial amputation of his finger and then discharged. ","Amputation, Crushing"
605,03/03/2017,"At 10:00 a.m. on March 3, 2017, Employee #1, employed by an industrial products company, was operating a threading machine for rebar.  His right hand was in contact with the rebar as it was spinning on the machine.  Employee #1's hand came into contact with the cutting blade.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for the amputation of two fingers. ","Amputation, Crushing"
606,03/03/2017,"At 9:31 a.m. on March 3, 2017, Employee #1, employed by a manufacturer of concrete products, was preparing for die setting.  He was adjusting the height of the travelling head on a hydraulic cutting machine, THNC-2570.  He placed his left hand onto the switch located between the travelling head and the top plate and manipulated the switch to adjust the height of the travelling head from the work table.  As he engaged the switch, the travelling head moved upwards and caught his hand between the head and the plate.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a finger fracture and lacerations to the back of his hand and palm. ",Laceration
607,03/03/2017,"At 9:45 a.m. on March 3, 2017, Employee #1, employed by an aerospace systems provider, was working at her desk.  She rose and started to step away from her desk.  Her foot caught in cords hanging under the desk.  Employee #1 tripped and fell.  Emergency services were called, and Employee #1 was transported to the hospital.  She was admitted and treated for a fractured femur of her right leg. ","Fracture, Broken Bones"
608,03/03/2017,"At 9:30 a.m. on March 3, 2017, Employee #1, employed by a manufacturer of industrial trucks and trailers, was working at a semi trailer.  He was releasing air from the air tank of a stinger attachment.  A portion of his left hand's middle finger was pinched between the stinger and the trailer. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for the amputation of his middle fingertip. ","Amputation, Crushing"
609,03/03/2017,"At approximately 8:00 a.m. on March 3, 2017, an employee was framing a house. He went to move a steel ""I"" beam and it tipped over the landing on his leg and broke one of his ankles. The employee was hospitalized and treated for a broken ankle. ","Fracture, Broken Bones"
610,03/03/2017,"At 3:00 p.m. on February 27, 2017, Employee #1 arrived at the jobsite to introduce his coworker, who was taking over the job, since he was scheduled to retire the next day. As the two employees ascended the fixed cement stairs located on the exterior of the building, Employee #1 fell backwards down the stairs. The employee was transported to the hospital and it was determined that he had sustained a broken shoulder, elbow, and hand.  At approximately 5:00 p.m. on March 3, 2017, Employee #1 died due to heart complications. ","Fracture, Broken Bones"
611,03/03/2017,"At about 5:00 p.m. on March 3, 2017, an employee was operating a machine. His foot got caught and his toe was amputated by the machine. The employee was not hospitalized. ","Amputation, Crushing"
612,03/03/2017,"At 5:00 a.m. on March 3, 2017, Employee #1, employed by a manufacturer of various automotive and industrial products, was attempting to fix a jammed machine.  He opened a guard, reached into the machine with his left hand, and cleared the jam.  A pressurized pneumatic cylinder continued to operate and struck Employee #1's hand.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the amputation of two fingertips and discharged.  The subsequent investigation determined that the machine was not locked out or turned off at the time of the event. ","Amputation, Crushing"
613,03/03/2017,"At 5:30 p.m. on March 3, 2017, an employee was tightening bolts on a machine when a coworker, was working to remove the wire rope rigging with an overhead crane attached. The clevise caught the machine assembly, causing it to tip over and pin the employee beneath. He sustained a fractured rib and vertebra, which he was hospitalized and received treatment. ","Fracture, Broken Bones"
